id,mode,status,correctness,citation_precision,citation_faithfulness,citation_recall,evidence_citation_coverage,recall_at_k,answerable,abstained,abstention_correct,tool_accuracy,agent_steps,tool_calls,tokens,latency_ms,reranker_latency_ms,retrieval_rounds,rewrite_attempts,rewrite_successes,rewrite_quality_gain,retrieval_context_tokens,estimated_cost_usd
q01,naive,completed,0.95,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,1.0,1.0,5,1,221,42.1662489998198,0.005009000233258121,1,0,0,0,244,0.0
q02,naive,completed,0.8431372549019608,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,1.0,1.0,5,1,227,38.343537999935506,0.004085000000486616,1,0,0,0,243,0.0
q03,naive,completed,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,1.0,1.0,5,1,217,38.53844900004333,0.00327199995808769,1,0,0,0,251,0.0
q04,naive,completed,0.18181818181818182,1.0,1.0,0.0,0.8333333333333334,0.0,True,False,1.0,1.0,5,1,204,38.15873400071723,0.003406999894650653,1,0,0,0,239,0.0
q05,naive,completed,0.925,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,1.0,1.0,5,1,243,39.54966199944465,0.0029499997253878973,1,0,0,0,259,0.0
q06,naive,completed,0.9615384615384616,1.0,1.0,0.5,0.8333333333333334,0.5,True,True,0.0,1.0,5,1,188,38.99572499994974,0.0032609996196697466,1,0,0,0,228,0.0
q07,naive,completed,0.9591836734693877,1.0,1.0,1.0,0.8333333333333334,1.0,True,True,0.0,1.0,5,1,210,75.88201699945785,0.00296400048682699,1,0,0,0,242,0.0
q08,naive,completed,0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,1.0,1.0,5,1,180,37.910525999905076,0.0029590000849566422,1,0,0,0,211,0.0
q09,naive,completed,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,1.0,1.0,5,1,168,38.51677300008305,0.0032389998523285612,1,0,0,0,211,0.0
q10,naive,completed,0.7916666666666666,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,1.0,1.0,5,1,206,39.20073000062985,0.0028989998099859804,1,0,0,0,247,0.0
q11,naive,completed,0.8627450980392157,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,1.0,1.0,5,1,216,37.74918299950514,0.0029030006771790795,1,0,0,0,233,0.0
q12,naive,completed,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,1.0,1.0,5,1,174,36.83349899984023,0.0033639998946455307,1,0,0,0,201,0.0
q13,naive,completed,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,1.0,1.0,5,1,241,38.692854999681,0.0030620003599324264,1,0,0,0,249,0.0
q14,naive,completed,0.65625,1.0,1.0,1.0,0.8333333333333334,1.0,True,True,0.0,1.0,5,1,183,36.997739000071306,0.002798999958031345,1,0,0,0,223,0.0
q15,naive,completed,0.6153846153846154,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,1.0,1.0,5,1,200,39.28793299928657,0.002810999831126537,1,0,0,0,225,0.0
q16,naive,completed,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,1.0,1.0,5,1,204,39.58207400046376,0.003696000021591317,1,0,0,0,240,0.0
q17,naive,completed,0.9655172413793104,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,1.0,1.0,5,1,174,38.51385899997695,0.003068999831157271,1,0,0,0,221,0.0
q18,naive,completed,0.9743589743589743,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,1.0,1.0,5,1,233,38.14005700041889,0.002939999831141904,1,0,0,0,255,0.0
q19,naive,completed,0.851063829787234,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,1.0,1.0,5,1,180,38.304814000184706,0.0031760000638314523,1,0,0,0,205,0.0
q20,naive,completed,0.8620689655172413,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,1.0,1.0,5,1,223,37.647313999514154,0.003370999365870375,1,0,0,0,245,0.0
q21,naive,completed,0.9629629629629629,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,1.0,1.0,5,1,191,39.85546700005216,0.003223000021534972,1,0,0,0,222,0.0
q22,naive,completed,0.9117647058823529,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,1.0,1.0,5,1,210,38.1337730004816,0.003041999661945738,1,0,0,0,252,0.0
q23,naive,completed,0.36,1.0,1.0,0.0,0.8333333333333334,0.0,True,False,1.0,1.0,5,1,242,41.43687200030399,0.003640999238996301,1,0,0,0,258,0.0
q24,naive,completed,0.75,1.0,1.0,1.0,0.8333333333333334,1.0,True,False,1.0,1.0,5,1,210,38.57402799985721,0.003400999958103057,1,0,0,0,242,0.0
